School_Type,Location,Infrastructure,Teaching_Staff,Gender,Caste,Age,Standard,Socioeconomic_Status,Dropout_Status
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,General,12,10,High,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Good,Good,Male,OBC,13,11,Moderate,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Urban,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Urban,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Government,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Government,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Government,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Private,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Government,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Private,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Government,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Urban,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Urban,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Urban,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Urban,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Urban,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Urban,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Urban,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Urban,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,High,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,Low,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Urban,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Rural,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
Private,Rural,Basic,Poor,Female,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Rural,Good,Good,Female,General,10,8,Low,Dropout
Government,Semi-Urban,Good,Good,Male,General,12,10,Moderate,Enrolled
Private,Rural,Basic,Poor,Female,ST,11,9,Low,Dropout
Government,Urban,Excellent,Good,Male,OBC,13,11,High,Enrolled
Private,Semi-Urban,Good,Good,Female,General,10,8,Moderate,Dropout
Private,Rural,Basic,Poor,Male,ST,12,10,Low,Dropout
Government,Semi-Urban,Excellent,Good,Female,OBC,14,12,High,Enrolled
Private,Rural,Good,Good,Male,General,11,9,Moderate,Dropout
